Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/
,
Violent crime rate
Agency,State,2013,2014,
Akron City Police Dept,OH,         794.3,         690.3,
Alliance Police Dept,OH,         374.8,         338.0,
American Twp Police Dept,OH,          24.4,          16.2,
Amherst Police Dept,OH,          74.8,          24.7,
Ashland Police Dept,OH,          68.9,          73.9,
Athens City Police Dept,OH,          71.7,         112.1,
Aurora Police Dept,OH,          58.2,          57.7,
Austintown Police Dept,OH,         154.7,         177.8,
Bainbridge Twp Police Dept,OH,          26.2,          69.5,
Barberton Police Dept,OH,         331.5,         258.7,
Beachwood Police Dept,OH,,         101.6,
Beavercreek Police Dept,OH,          26.1,          54.5,
Bedford Heights,OH,         339.4,         318.3,
Bedford Police Dept,OH,         241.1,         187.0,
Bellefontaine Police Dept,OH,         342.3,         220.4,
Berea Police Dept,OH,          95.0,         100.1,
Bexley Police Dept,OH,         157.7,         110.8,
Blue Ash Police Dept,OH,          57.8,          65.9,
Boardman Twp Police Dept,OH,          99.3,         162.3,
Bowling Green Police Dept,OH,         153.9,         118.2,
Brecksville Police Dept,OH,           7.4,            .0,
Brimfield Twp Police Dept,OH,         213.8,,
Broadview Heights Police Dept,OH,          57.1,         139.8,
Brooklyn Police Dept,OH,         182.1,         264.5,
Brunswick Police Dept,OH,          46.5,          54.9,
Bucyrus Police Dept,OH,,         241.5,
Cambridge Police Dept,OH,         351.2,         477.3,
Canton Police Dept,OH,         927.0,       1008.4,
Celina City Police Dept,OH,         105.9,         183.2,
Centerville Police Dept,OH,          79.3,          96.0,
Chillicothe Police Dept,OH,         336.7,         369.9,
Cincinnati Police Dept,OH,         963.9,         913.4,
Circleville Police Dept,OH,         170.5,         252.4,
Clear Creek Twp (Warren Co) Police Dept,OH,          27.3,          47.3,
Cleveland,OH,       1485.7,       1339.2,
Cleveland Heights Police Dept,OH,         311.0,         234.5,
Columbus Police Dept,OH,         544.6,         558.5,
Conneaut Police Dept,OH,          77.5,         419.0,
Cuyahoga Falls City Police Dept,OH,         140.4,,
Dayton,OH,         878.4,         863.7,
Defiance City Police Dept,OH,         184.6,         184.8,
Delaware City Police Dept,OH,         146.2,         173.7,
Delhi Twp Police Dept,OH,          57.7,          54.0,
Dover Police Dept,OH,         109.5,          46.6,
Dublin Police Dept,OH,          23.0,          18.1,
East Cleveland Police Dept,OH,       1044.5,         768.0,
Eastlake Police Dept,OH,          86.8,          76.2,
Englewood Police Dept,OH,         111.5,         185.7,
Euclid Police Dept,OH,         193.4,,
Fairborn Police Dept,OH,         192.0,         144.2,
Fairfield City Police Dept,OH,         281.2,         229.8,
Fairfield Twp (Butler Co) Police Dept,OH,         119.4,         100.5,
Findlay Police Dept,OH,         182.4,         192.2,
Forest Park Police Dept,OH,         160.7,         304.4,
Franklin Twp (Summit Co) Police Dept,OH,          35.1,          27.9,
Fremont Police Dept,OH,         254.3,         146.5,
Gahanna Police Dept,OH,          67.6,          70.1,
Galion City Police Dept,OH,         215.6,         186.0,
Garfield Heights Police Dept,OH,,         382.0,
Goshen Twp (Clermont Co) Police Dept,OH,,          70.4,
Greenville Police Dept,OH,         260.3,         306.8,
Grove City Police Dept,OH,         107.5,         100.1,
Hamilton City Police Dept,OH,         607.1,,
Hamilton Twp Police Dept,OH,          18.4,          13.7,
Harrison Police Dept,OH,          29.5,          67.4,
Heath City Police Dept,OH,         192.1,         209.8,
Hilliard Police Dept,OH,          82.9,,
Howland Twp Police Dept,OH,         128.8,         164.6,
Huber Heights Police Dept,OH,         157.4,         196.7,
Hudson City Police Dept,OH,          13.4,          17.8,
Ironton Police Dept,OH,         162.9,         172.0,
Jackson Township,OH,         106.3,         115.6,
Kent Police Dept,OH,         185.9,         233.3,
Kettering Police Dept,OH,          94.8,          95.0,
Lakewood Police Dept,OH,          93.8,         129.6,
Lancaster Police Dept,OH,         341.9,         276.3,
Lebanon Police Dept,OH,          97.7,          87.5,
Liberty Twp Police Dept,OH,         176.7,         143.8,
Lima Police Dept,OH,         957.8,         922.5,
Lorain Police Dept,OH,         476.5,         383.5,
Loveland Police Dept,OH,          57.2,          64.6,
Lyndhurst Police Dept,OH,          36.3,,
Madison Twp (Franklin Co) Police Dept,OH,,         105.9,
Mansfield Police Dept,OH,         384.4,         465.9,
Marietta Police Dept,OH,         149.9,          71.2,
Marion City Police Dept,OH,         365.5,         285.6,
Marysville Police Dept,OH,          54.5,          49.0,
Masillon City Police Dept,OH,         227.0,         267.1,
Mason Police Dept,OH,          35.3,          35.0,
