Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/
,
Violent crime rate
Agency,State,2010,2011,2012,2013,2014,
Akron City Police Dept,OH,         841.2,         892.8,         886.6,         794.3,         690.3,
Alliance Police Dept,OH,         309.1,         380.5,         430.6,         374.8,         338.0,
American Twp Police Dept,OH,          16.0,,,          24.4,          16.2,
Amherst Police Dept,OH,          83.2,          74.8,          33.3,          74.8,          24.7,
Ashland Police Dept,OH,          73.7,          83.4,          93.3,          68.9,          73.9,
Athens City Police Dept,OH,          96.5,         125.8,          62.9,          71.7,         112.1,
Aurora Police Dept,OH,          51.5,          77.1,          45.0,          58.2,          57.7,
Austintown Police Dept,OH,          77.5,          97.6,         172.7,         154.7,         177.8,
Bainbridge Twp Police Dept,OH,          79.0,,,          26.2,          69.5,
Barberton Police Dept,OH,         192.1,         252.2,         207.9,         331.5,         258.7,
Beachwood Police Dept,OH,,         309.3,         269.7,,         101.6,
Beavercreek Police Dept,OH,          64.2,          59.7,          54.9,          26.1,          54.5,
Bedford Heights,OH,         241.8,         260.2,         384.4,         339.4,         318.3,
Bedford Police Dept,OH,         229.5,         160.5,         223.6,         241.1,         187.0,
Bellefontaine Police Dept,OH,         254.3,         284.0,         247.7,         342.3,         220.4,
Berea Police Dept,OH,          41.9,          41.9,          36.9,          95.0,         100.1,
Bexley Police Dept,OH,          84.2,          76.5,         105.9,         157.7,         110.8,
Blue Ash Police Dept,OH,          90.8,          74.2,          57.9,          57.8,          65.9,
Boardman Twp Police Dept,OH,         178.1,,         105.9,          99.3,         162.3,
Bowling Green Police Dept,OH,         133.2,         179.7,         231.6,         153.9,         118.2,
Brecksville Police Dept,OH,          36.6,          22.0,          29.5,           7.4,            .0,
Brimfield Twp Police Dept,OH,         154.2,         115.6,         134.7,         213.8,,
Broadview Heights Police Dept,OH,          51.5,          46.4,          20.8,          57.1,         139.8,
Brook Park Police Dept,OH,         395.6,          98.8,          52.5,,,
Brooklyn Police Dept,OH,         286.5,         196.8,         315.9,         182.1,         264.5,
Brunswick Police Dept,OH,,         315.1,,          46.5,          54.9,
Bucyrus Police Dept,OH,,,,,         241.5,
Cambridge Police Dept,OH,         282.1,         432.2,         585.3,         351.2,         477.3,
Canton Police Dept,OH,         893.1,       1108.7,         999.8,         927.0,       1008.4,
Celina City Police Dept,OH,         182.7,         221.0,,         105.9,         183.2,
Centerville Police Dept,OH,          91.7,          33.3,          78.8,          79.3,          96.0,
Chillicothe Police Dept,OH,       1095.8,         538.4,         460.1,         336.7,         369.9,
Cincinnati Police Dept,OH,       1217.4,       1032.1,         974.7,         963.9,         913.4,
Circleville Police Dept,OH,         285.4,         277.7,         231.6,         170.5,         252.4,
Clear Creek Twp (Warren Co) Police Dept,OH,            .0,           7.1,           7.0,          27.3,          47.3,
Cleveland,OH,       1393.3,       1366.4,       1383.8,       1485.7,       1339.2,
Cleveland Heights Police Dept,OH,         158.3,         309.8,         367.1,         311.0,         234.5,
Columbus Police Dept,OH,         695.3,         658.3,,         544.6,         558.5,
Conneaut Police Dept,OH,         132.4,         272.4,         163.8,          77.5,         419.0,
Copley Twp Police Dept,OH,           5.8,,,,,
Cuyahoga Falls City Police Dept,OH,         137.0,         120.8,         131.4,         140.4,,
Dayton,OH,       1067.6,         956.7,         973.7,         878.4,         863.7,
Defiance City Police Dept,OH,         127.3,          78.8,         156.4,         184.6,         184.8,
Delaware City Police Dept,OH,         158.3,         212.8,         149.1,         146.2,         173.7,
Delhi Twp Police Dept,OH,          71.2,          47.4,          44.2,          57.7,          54.0,
Dover Police Dept,OH,          70.2,          31.2,,         109.5,          46.6,
Dublin Police Dept,OH,          28.7,          38.3,          35.4,          23.0,          18.1,
East Cleveland Police Dept,OH,,,         497.1,       1044.5,         768.0,
Eastlake Police Dept,OH,          70.0,          43.0,         123.9,          86.8,          76.2,
Elyria Police Dept,OH,         405.3,         351.8,,,,
Englewood Police Dept,OH,         178.2,         103.9,          66.5,         111.5,         185.7,
Euclid Police Dept,OH,         276.0,,,         193.4,,
Fairborn Police Dept,OH,         179.3,         231.7,,         192.0,         144.2,
Fairfield City Police Dept,OH,         294.0,         263.3,         341.7,         281.2,         229.8,
Fairfield Twp (Butler Co) Police Dept,OH,         140.4,         173.0,          88.4,         119.4,         100.5,
Findlay Police Dept,OH,         182.0,         194.0,,         182.4,         192.2,
Forest Park Police Dept,OH,         187.0,         181.5,         150.0,         160.7,         304.4,
Franklin City Police Dept,OH,         237.9,,,,,
Franklin Twp (Summit Co) Police Dept,OH,          14.1,          28.1,          21.2,          35.1,          27.9,
Fremont Police Dept,OH,         155.4,         232.9,         161.9,         254.3,         146.5,
Gahanna Police Dept,OH,          63.2,          54.1,          65.3,          67.6,          70.1,
