,LotSizeAcres,med/housing,address/locality,education ,identifier/attomId,edusqu,median_income,address/postal1,HSper,bachper,total,2per,perc_fs,summary/yearbuilt,mastper,building/rooms/bathstotal,population,building/rooms/beds,sale/amount/saleamt
0,0.2251,201200,Medina,9,,81,76741,44256,24.3486809765689,26.251726317267853,41.8,2.309435648621042,6.650360561717202,2013,9.512885934318017,3.0,62656.0,3,205000
1,0.78,201200,Medina,9,,81,76741,44256,24.3486809765689,26.251726317267853,41.8,2.309435648621042,6.650360561717202,1860,9.512885934318017,1.0,62656.0,2,119000
2,0.1417,201200,Medina,9,,81,76741,44256,24.3486809765689,26.251726317267853,41.8,2.309435648621042,6.650360561717202,1955,9.512885934318017,1.0,62656.0,3,112000
5,0.31,201200,Medina,9,,81,76741,44256,24.3486809765689,26.251726317267853,41.8,2.309435648621042,6.650360561717202,1994,9.512885934318017,3.0,62656.0,3,222500
6,0.2397,201200,Medina,9,,81,76741,44256,24.3486809765689,26.251726317267853,41.8,2.309435648621042,6.650360561717202,1956,9.512885934318017,1.0,62656.0,3,125900
7,0.16,201200,Medina,9,,81,76741,44256,24.3486809765689,26.251726317267853,41.8,2.309435648621042,6.650360561717202,1996,9.512885934318017,1.0,62656.0,3,162500
8,0.3753,201200,Medina,9,,81,76741,44256,24.3486809765689,26.251726317267853,41.8,2.309435648621042,6.650360561717202,1984,9.512885934318017,2.0,62656.0,3,174000
12,0.2984,201200,Medina,9,,81,76741,44256,24.3486809765689,26.251726317267853,41.8,2.309435648621042,6.650360561717202,1920,9.512885934318017,1.0,62656.0,3,127500
13,0.71,201200,Medina,9,,81,76741,44256,24.3486809765689,26.251726317267853,41.8,2.309435648621042,6.650360561717202,1998,9.512885934318017,4.0,62656.0,3,445000
15,0.5845,201200,Medina,9,,81,76741,44256,24.3486809765689,26.251726317267853,41.8,2.309435648621042,6.650360561717202,1956,9.512885934318017,2.0,62656.0,3,180000
16,0.5484,201200,Medina,9,,81,76741,44256,24.3486809765689,26.251726317267853,41.8,2.309435648621042,6.650360561717202,2017,9.512885934318017,3.0,62656.0,3,424900
19,0.1607,201200,Medina,9,,81,76741,44256,24.3486809765689,26.251726317267853,41.8,2.309435648621042,6.650360561717202,1975,9.512885934318017,1.0,62656.0,3,126000
22,0.37,201200,Medina,9,,81,76741,44256,24.3486809765689,26.251726317267853,41.8,2.309435648621042,6.650360561717202,2017,9.512885934318017,4.0,62656.0,4,468100
23,0.1894,201200,Medina,9,,81,76741,44256,24.3486809765689,26.251726317267853,41.8,2.309435648621042,6.650360561717202,1922,9.512885934318017,1.0,62656.0,3,124000
24,0.27399999999999997,201200,Medina,9,,81,76741,44256,24.3486809765689,26.251726317267853,41.8,2.309435648621042,6.650360561717202,1975,9.512885934318017,2.0,62656.0,3,156000
35,0.1846,238700,Peninsula,10,,100,87639,44264,15.138282387190685,30.033964095099464,42.8,4.863945578231292,8.54853072128228,2007,8.976225133430374,3.0,2940.0,3,300000
44,0.4591,130700,Massillon,9,,81,52252,44646,32.67354421726431,16.978435150083897,43.1,6.392211044428134,13.12241214566302,1976,6.0903610714063765,3.0,46322.0,3,152700
