geoid,address/postal1,total,"B02001001, Error",1,"B02001002, Error",2,"B02001003, Error",3,"B02001004, Error",4,"B02001005, Error",B02001006,"B02001006, Error",B02001007,"B02001007, Error",B02001008,"B02001008, Error",B02001009,"B02001009, Error",B02001010,"B02001010, Error"
04000US39,56,11609756,0,9503779,3426,1428230,3833,21872,1200,235878,1851,3499,344,103726,3378,312772,5097,25907,1669,286865,4716
86000US16159,16159,4824,325,4703,337,11,18,0,10,13,20,1,3,0,10,96,62,2,3,94,62
86000US43001,43001,2890,453,2782,465,0,11,0,11,0,11,0,11,0,11,108,103,0,11,108,103
86000US43002,43002,3238,802,3020,771,98,147,0,11,97,92,0,11,0,11,23,36,0,11,23,36
86000US43003,43003,2895,426,2836,441,0,11,0,11,2,5,0,11,33,44,24,34,0,11,24,34
86000US43004,43004,25768,1459,17174,954,6538,1033,0,21,1092,483,0,21,53,72,911,651,0,21,911,651
86000US43005,43005,200,124,200,124,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
86000US43006,43006,609,198,609,198,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
86000US43008,43008,2619,56,2425,156,0,11,41,40,81,128,0,11,13,20,59,68,0,11,59,68
86000US43009,43009,2219,358,2214,358,5,9,0,11,0,11,0,11,0,11,0,11,0,11,0,11
86000US43010,43010,288,92,288,92,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
86000US43011,43011,7952,582,7610,533,88,82,0,16,38,56,0,16,3,5,213,107,4,7,209,107
86000US43013,43013,950,224,934,221,0,11,0,11,0,11,0,11,3,5,13,17,0,11,13,17
86000US43014,43014,3481,367,3430,364,21,28,0,11,0,11,0,11,13,21,17,22,12,20,5,8
86000US43015,43015,53852,951,48738,1047,2240,423,40,38,1148,292,11,12,336,197,1339,337,57,59,1282,321
86000US43016,43016,35673,1134,24626,1040,1002,351,130,117,8080,957,79,113,220,166,1536,574,149,138,1387,549
86000US43017,43017,40273,1097,32078,1171,1239,433,87,65,5516,759,0,24,385,200,968,293,92,104,876,280
86000US43019,43019,9415,863,9146,840,190,185,0,16,0,16,12,19,10,19,57,47,0,16,57,47
86000US43021,43021,12242,718,10900,667,133,88,50,56,769,295,0,18,18,21,372,194,44,78,328,181
86000US43022,43022,4548,420,4242,426,157,102,0,11,28,26,0,11,19,19,102,91,12,18,90,90
86000US43023,43023,13284,506,12259,522,144,59,26,28,526,176,0,18,120,122,209,122,8,16,201,120
86000US43025,43025,5191,469,5114,477,27,31,6,11,27,45,0,16,7,11,10,11,0,16,10,11
86000US43026,43026,61659,1294,53360,1481,3678,907,52,66,3189,600,0,27,244,166,1136,335,160,144,976,313
86000US43028,43028,8057,631,7829,637,64,56,54,56,34,46,0,16,0,16,76,56,0,16,76,56
86000US43029,43029,676,179,604,175,7,15,0,11,58,83,0,11,0,11,7,15,0,11,7,15
86000US43030,43030,106,169,106,169,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
86000US43031,43031,12815,665,12488,681,48,57,0,18,20,27,0,18,122,116,137,98,57,88,80,43
86000US43032,43032,42,44,42,44,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
86000US43033,43033,332,81,328,81,0,11,0,11,2,3,0,11,0,11,2,3,0,11,2,3
86000US43035,43035,26856,739,21015,836,1312,298,26,26,3535,519,0,21,142,106,826,247,103,90,723,237
86000US43036,43036,280,85,273,84,7,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
