,identifier/obPropId,LotSizeAcres,address/oneLine,address/postal1,location/latitude,location/longitude,location/distance,summary/propclass,summary/propsubtype,summary/yearbuilt,building/size/universalsize,building/rooms/bathstotal,building/rooms/beds,sale/amount/saleamt,sale/amount/salerecdate,sale/amount/saletranstype,sale/calculation/priceperbed,sale/calculation/pricepersizeunit
7098,18288000000000.0,0.2251,"4300 BUTTERFLY CIR, MEDINA, OH 44256",44256,41.202632,-81.84036,16.44,Single Family Residence / Townhouse,HOUSE,2013,1400,3.0,3,205000,2019-05-17,Resale,68333,146
7203,18260800000000.0,0.4649,"5746 ARGYLE DR, HUDSON, OH 44236",44236,41.222498,-81.437658,26.24,Single Family Residence / Townhouse,RESIDENTIAL,1970,1792,3.0,4,253000,2019-05-16,Resale,63250,141
5860,18276200000000.0,0.78,"500 MEDINA RD, MEDINA, OH 44256",44256,41.135813,-81.70288000000001,22.41,Single Family Residence / Townhouse,HOUSE,1860,1176,1.0,2,119000,2019-05-15,Resale,59500,101
7112,1700620000000.0,0.1846,"55 QUARTZ AVE, PENINSULA, OH 44264",44264,41.202717,-81.498664,24.61,Single Family Residence / Townhouse,RESIDENTIAL,2007,1702,3.0,3,300000,2019-05-15,Resale,100000,176
284,5248640000000.0,0.1802,"735 3RD ST NE, MASSILLON, OH 44646",44646,40.803548,-81.52141999999999,47.21,Single Family Residence / Townhouse,HOUSE,1897,1032,1.0,2,28000,2019-05-14,REO (Transfer to Lender),14000,27
602,15924400000000.0,0.1822,"310 STEWART AVE NW, MASSILLON, OH 44646",44646,40.796510999999995,-81.457538,48.96,Single Family Residence / Townhouse,MISCELLANEOUS INDUSTRIAL,1953,1248,2.0,3,119000,2019-05-13,Resale,39667,95
7451,25355100000000.0,0.314,"417 AUDUBON RDG, BRUNSWICK, OH 44212",44212,41.243120000000005,-81.82866999999999,13.68,Single Family Residence / Townhouse,HOUSE,2016,2844,3.0,4,344900,2019-05-13,Resale,86225,121
193,1404250000000.0,0.1488,"3049 BAYER CIR NW, MASSILLON, OH 44646",44646,40.796793,-81.47694200000001,48.53,Single Family Residence / Townhouse,MISCELLANEOUS INDUSTRIAL,1954,1224,1.0,3,57000,2019-05-13,Resale,19000,47
8709,18250500000000.0,0.58,"3677 NEW MILFORD RD, ROOTSTOWN, OH 44272",44272,41.089421,-81.220974,40.78,Single Family Residence / Townhouse,RESIDENTIAL,1973,2208,2.0,4,169900,2019-05-13,Resale,42475,77
2574,18261100000000.0,0.5739,"3636 JOHNSON RD, NORTON, OH 44203",44203,41.003723,-81.652752,31.87,Single Family Residence / Townhouse,RESIDENTIAL,1932,1232,1.0,2,142000,2019-05-10,Resale,71000,115
4038,4697170000000.0,0.7151,"1319 SOUTHEAST AVE, TALLMADGE, OH 44278",44278,41.075608,-81.405548,34.24,Single Family Residence / Townhouse,RESIDENTIAL,1943,1330,1.0,3,75000,2019-05-10,Resale,25000,56
5454,455052000000.0,0.1377,"179 E BAIRD AVE, BARBERTON, OH 44203",44203,41.012177,-81.59897,32.35,Single Family Residence / Townhouse,RESIDENTIAL,1918,941,1.0,2,79900,2019-05-10,Resale,39950,85
3193,14938700000000.0,0.3939,"8155 HIDDEN GLEN AVE NE, CANTON, OH 44721",44721,40.900372,-81.33890600000001,45.86,Single Family Residence / Townhouse,HOUSE,1993,2514,3.0,4,236000,2019-05-10,Resale,59000,94
1729,14517800000000.0,0.0918,"1513 20TH ST NE, CANTON, OH 44714",44714,40.819967,-81.357023,49.99,Single Family Residence / Townhouse,MISCELLANEOUS INDUSTRIAL,1949,864,1.0,2,24800,2019-05-09,Resale,12400,29
2683,2310610000000.0,0.0803,"676 W LAKE AVE, BARBERTON, OH 44203",44203,41.016386,-81.61431999999999,31.77,Single Family Residence / Townhouse,RESIDENTIAL,1889,1488,2.0,3,72000,2019-05-09,Resale,24000,48
4525,5435820000000.0,0.1642,"715 MOHAWK AVE, AKRON, OH 44305",44305,41.08207,-81.46818,31.77,Single Family Residence / Townhouse,RESIDENTIAL,1949,1008,1.0,3,65900,2019-05-09,Resale,21967,65
8006,1280370000000.0,0.1149,"343 CLEVELAND ST, AKRON, OH 44306",44306,41.069139,-81.494984,31.64,Single Family Residence / Townhouse,RESIDENTIAL,1917,1584,2.0,4,37500,2019-05-08,Resale,9375,24
8996,18262500000000.0,0.2482,"814 KEENEY ST, AKRON, OH 44310",44310,41.107339,-81.50589699999999,29.19,Single Family Residence / Townhouse,RESIDENTIAL,1949,1254,1.0,3,48000,2019-05-08,Resale,16000,38
8259,2932390000000.0,0.1114,"15127 COLONY CT, STRONGSVILLE, OH 44136",44136,41.279083,-81.80460699999999,11.41,Single Family Residence / Townhouse,RESIDENTIAL,1995,1842,1.0,3,196500,2019-05-08,Resale,65500,107
9447,18227500000000.0,0.4591,"8412 N BLUFF DR, BROADVIEW HEIGHTS, OH 44147",44147,41.335654,-81.687012,11.18,Single Family Residence / Townhouse,RESIDENTIAL,1988,2456,3.0,4,330000,2019-05-07,Resale,82500,134
3811,257985000000.0,0.3214,"104 DELLENBERGER AVE, AKRON, OH 44312",44312,41.058538,-81.45486700000001,33.48,Single Family Residence / Townhouse,RESIDENTIAL,1950,960,1.0,2,84000,2019-05-07,Resale,42000,88
4287,18205200000000.0,0.47,"4365 PROVENS DR, AKRON, OH 44319",44319,40.963736,-81.518662,37.19,Single Family Residence / Townhouse,RESIDENTIAL,1973,1508,3.0,3,16000,2019-05-07,Resale,5333,11
9377,20741139153.0,0.4637,"1179 PARK LEDGE DR, MACEDONIA, OH 44056",44056,41.330746000000005,-81.492304,20.12,Single Family Residence / Townhouse,RESIDENTIAL,1993,2077,3.0,4,210000,2019-05-06,Resale,52500,101
6141,54224139153.0,0.66,"3754 BROOKSIDE DR, NORTON, OH 44203",44203,41.031518,-81.650966,30.1,Single Family Residence / Townhouse,RESIDENTIAL,1953,1238,1.0,2,150500,2019-05-06,Resale,75250,122
5994,2310600000000.0,0.1417,"408 E NORTH ST, MEDINA, OH 44256",44256,41.141974,-81.858376,20.62,Single Family Residence / Townhouse,HOUSE,1955,1184,1.0,3,112000,2019-05-06,Resale,37333,95
855,2202480000000.0,0.1694,"1538 EDMEYER AVE NW, CANTON, OH 44708",44708,40.815283,-81.405336,49.02,Single Family Residence / Townhouse,MISCELLANEOUS INDUSTRIAL,1967,1232,1.0,2,112000,2019-05-06,Resale,56000,91
2668,18256700000000.0,0.1971,"140 5TH ST NE, BARBERTON, OH 44203",44203,41.014277,-81.590009,32.41,Single Family Residence / Townhouse,RESIDENTIAL,1943,1344,2.0,3,114000,2019-05-06,Resale,38000,85
6123,18356200000000.0,0.1488,"280 MORRISON AVE, CUYAHOGA FALLS, OH 44221",44221,41.149825,-81.485222,27.66,Single Family Residence / Townhouse,RESIDENTIAL,1950,1764,2.0,4,146950,2019-05-03,Resale,36738,83
9300,5021190000000.0,0.1544,"313 HARTSFIELD TER, MACEDONIA, OH 44056",44056,41.326941999999995,-81.523291,18.75,Single Family Residence / Townhouse,RESIDENTIAL,1999,1788,2.0,3,245000,2019-05-02,Resale,81667,137
1793,265841000000.0,0.1954,"2509 DEMINGTON AVE NW, CANTON, OH 44708",44708,40.82558,-81.405035,48.4,Single Family Residence / Townhouse,HOUSE,1945,960,1.0,3,96000,2019-05-02,Resale,32000,100
9316,18262000000000.0,0.9308,"8920 STARLIGHT DR, MACEDONIA, OH 44056",44056,41.327703,-81.511065,19.31,Single Family Residence / Townhouse,RESIDENTIAL,1992,2124,3.0,3,240000,2019-05-02,Resale,80000,113
2976,18349100000000.0,0.4224,"239 SUMMIT ST SE, NORTH CANTON, OH 44720",44720,40.87034,-81.398165,45.9,Single Family Residence / Townhouse,HOUSE,1926,1668,3.0,4,140000,2019-05-02,Resale,35000,84
7739,18248600000000.0,0.2925,"2694 INVERNEST ST, STREETSBORO, OH 44241",44241,41.268337,-81.296063,31.2,Single Family Residence / Townhouse,RESIDENTIAL,1960,1888,2.0,3,48000,2019-05-01,Resale,16000,25
4634,2275170000000.0,0.2204,"1775 WAKEFIELD DR, AKRON, OH 44320",44320,41.090109999999996,-81.57986,28.01,Single Family Residence / Townhouse,RESIDENTIAL,1956,1256,1.0,3,49000,2019-05-01,Resale,16333,39
3929,948893000000.0,0.1573,"270 SHAWNEE PATH, AKRON, OH 44305",44305,41.068366999999995,-81.47107199999999,32.43,Single Family Residence / Townhouse,RESIDENTIAL,1928,1423,1.0,4,46000,2019-05-01,REO (Transfer to Lender),11500,32
1420,18255500000000.0,0.2755,"842 E MAPLE ST, NORTH CANTON, OH 44720",44720,40.875408,-81.391478,45.78,Single Family Residence / Townhouse,MISCELLANEOUS INDUSTRIAL,2000,1762,2.0,2,202900,2019-05-01,Construction Loan/Financing,101450,115
3262,5253710000000.0,0.1568,"9101 WELLSPRING AVE NW, NORTH CANTON, OH 44720",44720,40.918995,-81.409531,42.73,Single Family Residence / Townhouse,MISCELLANEOUS INDUSTRIAL,2005,1374,2.0,3,87500,2019-05-01,Resale,29167,64
3237,4202890000000.0,0.9840000000000001,"8766 FAIRPARK AVE NW, CANAL FULTON, OH 44614",44614,40.909643,-81.570105,39.46,Single Family Residence / Townhouse,MISCELLANEOUS INDUSTRIAL,1973,1725,2.0,4,172500,2019-05-01,Resale,43125,100
9374,5023630000000.0,0.15,"41780 BLANCHE AVE, ELYRIA, OH 44035",44035,41.331087,-82.133004,16.5,Single Family Residence / Townhouse,HOUSE,1928,770,1.0,2,60000,2019-05-01,Resale,30000,78
5719,2323620000000.0,0.1366,"115 STEVENSON DR, WADSWORTH, OH 44281",44281,41.030183,-81.730488,29.02,Single Family Residence / Townhouse,HOUSE,1958,1258,1.0,3,138000,2019-04-30,New Construction,46000,110
1519,18255800000000.0,0.2553,"517 LONGVIEW AVE, CANAL FULTON, OH 44614",44614,40.888759,-81.585666,40.52,Single Family Residence / Townhouse,MISCELLANEOUS INDUSTRIAL,1977,988,1.0,3,137400,2019-04-30,Resale,45800,139
