geoid,address/postal1,total,"B15003001, Error",B15003002,"B15003002, Error",B15003003,"B15003003, Error",B15003004,"B15003004, Error",B15003005,"B15003005, Error",B15003006,"B15003006, Error",B15003007,"B15003007, Error",B15003008,"B15003008, Error",B15003009,"B15003009, Error",B15003010,"B15003010, Error",B15003011,"B15003011, Error",B15003012,"B15003012, Error",B15003013,"B15003013, Error",B15003014,"B15003014, Error",B15003015,"B15003015, Error",B15003016,"B15003016, Error",HighSchool,"B15003017, Error",GED,"B15003018, Error",some college1,"B15003019, Error",Some college,"B15003020, Error",Associates,"B15003021, Error",Bachelors,"B15003022, Error",Masters,"B15003023, Error",Professional,"B15003024, Error",Doctorate,"B15003025, Error"
04000US39,56,7888150,1146,67808,1795,1227,233,1083,348,1161,271,3008,494,5592,629,5310,512,6926,618,19414,1246,19102,1090,97807,2528,94761,2077,160826,3059,193228,3278,128390,2632,2342883,11278,303725,3622,536561,5573,1078053,7834,672658,6078,1341204,8196,591026,7131,129078,2501,87319,1919
86000US16159,16159,3515,253,31,33,0,10,0,10,0,10,0,10,0,10,0,10,0,10,13,20,2,4,13,14,3,5,60,53,102,67,87,50,1571,251,147,65,229,87,221,92,316,87,483,122,237,100,0,10,0,10
86000US43001,43001,1943,237,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,18,27,16,23,21,30,13,17,23,27,659,212,51,35,94,41,299,106,134,52,417,127,162,78,28,38,8,11
86000US43002,43002,2894,790,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,12,25,0,11,0,11,0,11,221,187,0,11,319,422,287,171,431,533,1206,471,298,188,109,131,11,18
86000US43003,43003,2041,290,34,28,0,11,0,11,0,11,0,11,0,11,0,11,0,11,5,9,0,11,67,42,20,23,26,25,45,31,82,47,835,202,83,39,119,47,196,75,165,65,275,78,72,31,8,12,9,14
86000US43004,43004,17169,933,452,285,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,83,104,213,128,53,43,237,148,2887,441,332,170,1018,232,2951,536,1355,367,5243,617,1765,423,409,160,171,86
86000US43005,43005,173,104,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,8,14,0,11,148,106,0,11,8,14,4,9,0,11,5,10,0,11,0,11,0,11
86000US43006,43006,459,161,4,5,0,11,0,11,0,11,0,11,41,47,0,11,0,11,0,11,0,11,46,40,7,12,9,13,11,15,20,20,205,128,16,16,14,14,23,26,50,55,13,13,0,11,0,11,0,11
86000US43008,43008,1893,155,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,10,13,10,14,10,15,78,56,108,91,128,72,32,36,664,158,112,75,154,72,229,94,112,61,180,89,66,52,0,11,0,11
86000US43009,43009,1508,220,13,16,0,11,0,11,0,11,0,11,0,11,0,11,0,11,2,4,13,22,17,14,0,11,11,11,19,16,19,15,503,129,38,19,93,43,230,75,164,78,253,98,128,68,5,8,0,11
86000US43010,43010,192,57,2,3,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,1,3,1,3,2,3,7,10,6,8,90,31,16,17,9,9,26,18,24,16,7,7,1,2,0,11,0,11
86000US43011,43011,5114,339,4,6,0,16,0,16,0,16,0,16,0,16,14,22,0,16,3,7,0,16,15,19,103,79,50,39,38,29,21,25,1771,231,205,91,342,115,710,213,446,150,1020,235,327,159,15,17,30,34
86000US43013,43013,702,149,3,8,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,4,5,3,4,6,10,4,4,8,8,239,95,27,25,83,50,124,91,56,39,82,62,63,60,0,11,0,11
86000US43014,43014,2199,201,10,16,0,11,0,11,0,11,0,11,29,47,0,11,0,11,0,11,14,21,125,77,40,48,16,12,56,36,44,31,875,165,63,40,178,64,210,84,187,68,256,99,79,52,11,16,6,9
86000US43015,43015,34602,589,149,90,9,13,6,10,0,27,0,27,0,27,9,16,8,14,93,75,22,23,105,52,227,115,431,142,474,173,380,136,8278,525,1061,199,2542,342,4826,542,2631,354,8324,614,3904,424,615,155,508,145
86000US43016,43016,24648,893,38,45,0,24,45,72,0,24,0,24,0,24,0,24,3,7,0,24,0,24,3,6,160,137,100,73,119,109,241,135,2808,513,294,146,1037,258,2377,407,1573,420,9534,780,4390,469,988,212,938,225
86000US43017,43017,26713,708,172,100,16,27,0,24,0,24,113,171,0,24,0,24,0,24,0,24,13,29,64,62,0,24,24,26,192,114,200,87,2713,419,288,151,982,189,2399,370,1388,269,10622,617,5050,403,1340,225,1137,284
