geoid,name,med/housing,"B25077001, Error"
04000US39,56,135100,345
86000US16159,16159,125900,12886
86000US43001,43001,195200,44548
86000US43002,43002,152500,21325
86000US43003,43003,140400,18088
86000US43004,43004,168400,6263
86000US43005,43005,0,0
86000US43006,43006,99000,92195
86000US43008,43008,98600,20454
86000US43009,43009,190200,30943
86000US43010,43010,86800,13902
86000US43011,43011,183600,21333
86000US43013,43013,153200,31441
86000US43014,43014,142200,17959
86000US43015,43015,188700,4890
86000US43016,43016,268500,10670
86000US43017,43017,332400,8088
86000US43019,43019,134500,16487
86000US43021,43021,360100,16196
86000US43022,43022,208400,25811
86000US43023,43023,278100,24737
86000US43025,43025,164400,11158
86000US43026,43026,195300,3731
86000US43028,43028,141900,8798
86000US43029,43029,161700,17646
86000US43030,43030,0,0
86000US43031,43031,193100,15598
86000US43032,43032,0,0
86000US43033,43033,100000,13003
86000US43035,43035,289500,5551
86000US43036,43036,82500,11181
86000US43037,43037,75000,64128
86000US43040,43040,183600,6335
86000US43044,43044,126600,13720
86000US43045,43045,161100,21613
86000US43046,43046,175600,25770
86000US43050,43050,121800,5593
86000US43054,43054,327500,10764
86000US43055,43055,125900,3532
86000US43056,43056,141500,6348
86000US43060,43060,126000,10075
86000US43061,43061,243900,35813
86000US43062,43062,179500,6072
86000US43064,43064,233200,10864
86000US43065,43065,320000,7073
86000US43066,43066,199300,37817
86000US43067,43067,155600,39302
86000US43068,43068,139100,3418
86000US43070,43070,60400,14813
86000US43071,43071,141500,39714
86000US43072,43072,125400,10772
86000US43074,43074,243600,10085
86000US43076,43076,152000,13016
86000US43077,43077,101800,34482
86000US43078,43078,124900,5815
86000US43080,43080,142500,20110
86000US43081,43081,187300,5217
86000US43082,43082,296700,6903
86000US43084,43084,122000,23300
86000US43085,43085,238200,6418
86000US43101,43101,79200,17787
86000US43102,43102,164000,9585
86000US43103,43103,161100,5757
86000US43105,43105,177200,10083
86000US43106,43106,84400,9500
86000US43107,43107,121900,11645
86000US43109,43109,93100,8938
86000US43110,43110,162100,5650
86000US43111,43111,77000,57471
86000US43112,43112,236500,19078
86000US43113,43113,144000,7628
86000US43115,43115,124800,64676
86000US43116,43116,181200,11983
86000US43117,43117,0,0
86000US43119,43119,144000,4377
86000US43123,43123,155200,3477
86000US43125,43125,145300,10714
86000US43126,43126,111900,7319
86000US43127,43127,106300,44833
86000US43128,43128,86300,7188
86000US43130,43130,138100,4353
86000US43135,43135,117000,9439
86000US43136,43136,197100,22280
86000US43137,43137,124500,34327
86000US43138,43138,118300,7527
86000US43140,43140,156100,6292
86000US43142,43142,63000,15051
86000US43143,43143,128600,15747
86000US43144,43144,49400,18247
86000US43145,43145,111800,17050
86000US43146,43146,181300,10649
86000US43147,43147,199100,4994
86000US43148,43148,155500,18672
86000US43149,43149,139900,16672
86000US43150,43150,135500,15781
86000US43151,43151,86700,17007
86000US43152,43152,85300,34438
86000US43153,43153,156300,31844
86000US43154,43154,137200,19138
86000US43155,43155,146800,14045
86000US43156,43156,80000,26581
86000US43157,43157,97500,10220
86000US43158,43158,58600,7148
86000US43160,43160,110300,5159
86000US43162,43162,136400,4606
86000US43164,43164,132900,11820
86000US43201,43201,225500,18637
86000US43202,43202,193800,8024
86000US43203,43203,89400,24330
86000US43204,43204,99500,3321
86000US43205,43205,116900,11238
86000US43206,43206,117300,19124
86000US43207,43207,85100,1959
86000US43209,43209,228000,7525
86000US43210,43210,0,0
86000US43211,43211,53300,2699
86000US43212,43212,297900,17011
86000US43213,43213,98600,6414
86000US43214,43214,228300,4660
86000US43215,43215,252700,29352
86000US43217,43217,28800,7980
86000US43219,43219,88600,5470
86000US43220,43220,296300,11904
86000US43221,43221,263400,8376
86000US43222,43222,48000,7555
86000US43223,43223,79600,4996
86000US43224,43224,86600,1966
86000US43227,43227,78700,1810
86000US43228,43228,115100,4398
86000US43229,43229,122100,2405
86000US43230,43230,173700,3996
86000US43231,43231,133900,4240
86000US43232,43232,94600,3663
86000US43235,43235,224800,5155
86000US43240,43240,200500,12814
86000US43302,43302,86900,2205
86000US43310,43310,123100,20413
86000US43311,43311,121100,7295
86000US43314,43314,150600,18727
86000US43315,43315,135200,15288
86000US43316,43316,114300,7488
86000US43317,43317,85000,53581
86000US43318,43318,132600,27513
86000US43319,43319,160500,38247
86000US43320,43320,117700,24604
86000US43321,43321,110900,7726
86000US43322,43322,77500,12682
86000US43323,43323,114100,8058
86000US43324,43324,162400,16860
86000US43326,43326,93800,3196
86000US43330,43330,68900,12334
86000US43331,43331,89200,18655
86000US43332,43332,92400,12213
86000US43333,43333,110400,46586
86000US43334,43334,150300,11894
86000US43336,43336,0,0
86000US43337,43337,97900,28915
86000US43338,43338,145200,17383
86000US43340,43340,121800,21315
86000US43341,43341,93800,23319
86000US43342,43342,127200,17472
86000US43343,43343,127800,26740
86000US43344,43344,133400,8897
86000US43345,43345,129800,17694
86000US43347,43347,136800,29567
86000US43348,43348,89700,11998
86000US43351,43351,112000,12078
86000US43356,43356,136700,24876
86000US43357,43357,156700,12672
86000US43358,43358,121100,20238
86000US43359,43359,108800,14642
86000US43360,43360,181100,12542
86000US43402,43402,173200,4995
86000US43403,43403,0,0
86000US43406,43406,99800,13223
86000US43407,43407,114200,21249
86000US43408,43408,83600,7058
86000US43410,43410,112000,11312
86000US43412,43412,156500,16378
86000US43413,43413,104800,13313
86000US43416,43416,138200,16688
86000US43420,43420,108600,4438
86000US43430,43430,117000,7381
86000US43431,43431,109900,6989
86000US43432,43432,136300,46736
86000US43433,43433,0,0
86000US43434,43434,70000,29447
86000US43435,43435,121400,26692
86000US43437,43437,112500,16085
86000US43438,43438,292700,72012
86000US43439,43439,0,0
86000US43440,43440,173900,11524
86000US43442,43442,113200,11315
86000US43443,43443,151600,16799
86000US43445,43445,136500,29918
86000US43446,43446,234100,43366
86000US43447,43447,131600,10804
86000US43449,43449,129600,9197
86000US43450,43450,162000,11331
86000US43451,43451,141100,35437
86000US43452,43452,154700,6197
86000US43456,43456,408300,82966
86000US43457,43457,100600,10776
86000US43458,43458,87600,17546
86000US43460,43460,134500,14556
86000US43462,43462,104100,18393
86000US43463,43463,0,0
86000US43464,43464,97100,62258
86000US43465,43465,101400,10565
86000US43466,43466,106800,9858
86000US43467,43467,67500,61699
86000US43468,43468,92700,9360
86000US43469,43469,139700,8806
86000US43501,43501,100800,32822
86000US43502,43502,138000,8817
86000US43504,43504,157300,14788
86000US43505,43505,80000,24993
86000US43506,43506,97500,6689
86000US43511,43511,128000,19007
86000US43512,43512,113300,3635
86000US43515,43515,135900,8788
86000US43516,43516,96000,5240
86000US43517,43517,110000,11713
86000US43518,43518,104300,16740
86000US43519,43519,66700,35269
86000US43521,43521,83000,6962
86000US43522,43522,161400,21194
86000US43523,43523,0,0
86000US43524,43524,96900,4605
86000US43525,43525,164400,6140
86000US43526,43526,107700,10602
86000US43527,43527,92500,6064
86000US43528,43528,179100,7673
86000US43529,43529,46900,23147
86000US43531,43531,105000,69721
