,street_1,city,state,zip,sale_price,date,latitude,longitude
0,11024 DOVER RD,Apple Creek,OH,44606,65000,2006-10-05,40.724398,-81.784024
1,7651 BUSS RD # A,Apple Creek,OH,44606,200000,2010-04-23,40.726153000000004,-81.83613000000001
2,LINCOLN WAY E,Apple Creek,OH,44606,650000,2017-06-20,40.73247,-81.79985
3,18294 JERICHO RD,Dalton,OH,44618,54000,2013-04-29,40.733698,-81.66329
4,CHIPPEWA RD,Apple Creek,OH,44606,142800,2016-08-04,40.73247,-81.79985
5,5353 MILLERSBURG RD,Wooster,OH,44691,164000,2018-10-05,40.731927,-81.93938299999999
6,13887 JERICHO RD,Dalton,OH,44618,48400,2017-06-19,40.737662,-81.733552
7,4797 MILLERSBURG RD,Wooster,OH,44691,50000,2012-10-22,40.740747,-81.932523
8,3610 FREDERICKSBURG RD,Apple Creek,OH,44606,250000,2015-10-30,40.73247,-81.79985
9,4361 KIDRON RD,Kidron,OH,44636,65000,2018-08-14,40.74184,-81.74515
10,4936 BLUEBIRD LN,Dalton,OH,44618,200000,2008-02-19,40.739937,-81.734463
11,12733 EMERSON RD,Apple Creek,OH,44606,130000,2017-11-27,40.741033,-81.760147
12,4353 S HONEYTOWN RD,Apple Creek,OH,44606,175000,2015-05-20,40.744233,-81.87670899999999
13,5008 SHREVE RD,Wooster,OH,44691,374500,2017-01-30,40.743248,-81.985712
14,355 WOODBURY CIR,Dalton,OH,44618,134190,2006-05-15,40.747227,-81.741892
15,1782 E TOLBERT RD,Wooster,OH,44691,179500,2017-11-20,40.748232,-81.91949100000001
16,114 SPRING RUN DR,Apple Creek,OH,44606,164000,2017-10-27,40.743184,-81.826779
17,4574 KIDRON RD,Dalton,OH,44618,125000,2007-02-26,40.747026,-81.744939
18,364 WOODBURY CIR,Dalton,OH,44618,155669,2005-12-23,40.747091999999995,-81.74153199999999
19,362 WOODBURY CIR,Dalton,OH,44618,163500,2006-04-19,40.747116999999996,-81.74153199999999
20,4350 DEERFIELD AVE S,Dalton,OH,44618,138800,2018-11-19,40.748977000000004,-81.648152
21,11345 BLACHLEYVILLE RD,Wooster,OH,44691,76000,2013-10-15,40.751019,-82.121059
22,208 MILL ST,Apple Creek,OH,44606,150000,2017-09-20,40.749435,-81.831509
23,4111 BATDORF RD,Wooster,OH,44691,300000,2010-04-28,40.750834000000005,-81.963414
24,10785 BLACHLEYVILLE RD,Wooster,OH,44691,50000,2010-04-19,40.752471,-82.11806899999999
25,732 W MAIN ST,Apple Creek,OH,44606,23500,2005-11-17,40.755596999999995,-81.84562700000001
26,5082 DOVER RD,Apple Creek,OH,44606,100000,2013-04-12,40.756949,-81.871391
27,3705 KIDRON RD,Dalton,OH,44618,155500,2009-12-03,40.754945,-81.745341
28,10536 HACKETT RD,Apple Creek,OH,44606,258327,2008-09-09,40.755914000000004,-81.789208
29,14950 HACKETT RD,Apple Creek,OH,44606,110500,2015-11-18,40.756040000000006,-81.716854
30,3695 PIGEON RUN RD SW,Massillon,OH,44647,165500,2018-12-04,40.756396,-81.56115799999999
31,2706 S CARR RD,Apple Creek,OH,44606,18000,2012-10-17,40.762476,-81.794023
32,13533 NUSSBAUM RD,Dalton,OH,44618,389000,2018-02-12,40.760835,-81.737775
33,7967 BLACHLEYVILLE RD,Wooster,OH,44691,600000,2014-12-12,40.760956,-82.09579000000001
34,2972 S JEFFERSON RD,Wooster,OH,44691,167000,2016-04-28,40.761115999999994,-82.02324200000001
35,12814 BARRS RD SW,Massillon,OH,44647,87000,2005-11-17,40.764371000000004,-81.59607199999999
36,3255 BRIGADOON CIR,Dalton,OH,44618,125000,2006-11-13,40.764613,-81.63516700000001
37,3650 BLACHLEYVILLE RD,Wooster,OH,44691,88500,2012-11-19,40.767753000000006,-82.02341700000001
