geoid,name,B19058001,"B19058001, Error",B19058002,"B19058002, Error",B19058003,"B19058003, Error"
04000US39,Ohio,4633145,10307,689048,5091,3944097,12368
86000US16159,16159,1944,149,282,94,1662,156
86000US43001,43001,1052,125,46,29,1006,130
86000US43002,43002,1877,390,0,11,1877,390
86000US43003,43003,1023,135,165,54,858,132
86000US43004,43004,9558,490,671,222,8887,477
86000US43005,43005,93,53,0,11,93,53
86000US43006,43006,240,81,16,16,224,81
86000US43008,43008,1070,104,302,98,768,129
86000US43009,43009,782,107,14,12,768,108
86000US43010,43010,102,40,17,14,85,36
86000US43011,43011,2891,195,221,78,2670,205
86000US43013,43013,397,80,10,8,387,78
86000US43014,43014,1305,118,148,52,1157,127
86000US43015,43015,19648,361,1513,228,18135,420
86000US43016,43016,14587,525,446,166,14141,549
86000US43017,43017,14678,373,709,210,13969,434
86000US43019,43019,3423,240,348,99,3075,226
86000US43021,43021,3848,231,68,51,3780,232
86000US43022,43022,1135,158,25,26,1110,158
86000US43023,43023,3899,226,194,102,3705,208
86000US43025,43025,2149,189,202,66,1947,192
86000US43026,43026,22972,510,1569,356,21403,560
86000US43028,43028,3032,243,239,114,2793,292
86000US43029,43029,198,51,6,10,192,51
86000US43030,43030,52,83,0,11,52,83
86000US43031,43031,5035,290,291,110,4744,301
86000US43032,43032,21,22,0,11,21,22
86000US43033,43033,128,34,31,16,97,32
86000US43035,43035,8595,230,362,107,8233,259
86000US43036,43036,120,29,23,13,97,26
86000US43037,43037,119,38,28,21,91,30
86000US43040,43040,11671,294,1002,232,10669,354
86000US43044,43044,1901,129,167,43,1734,144
86000US43045,43045,683,105,15,11,668,104
86000US43046,43046,1413,105,189,74,1224,113
86000US43050,43050,11333,368,2076,268,9257,388
86000US43054,43054,9445,352,138,98,9307,341
86000US43055,43055,24590,540,4952,380,19638,604
86000US43056,43056,7298,342,717,201,6581,369
86000US43060,43060,954,83,87,32,867,88
86000US43061,43061,1531,132,91,45,1440,130
86000US43062,43062,10403,300,821,206,9582,395
86000US43064,43064,4740,200,352,143,4388,255
86000US43065,43065,14871,363,338,102,14533,362
86000US43066,43066,545,100,0,11,545,100
86000US43067,43067,586,99,27,21,559,99
86000US43068,43068,21626,513,2486,289,19140,541
86000US43070,43070,53,32,0,11,53,32
86000US43071,43071,720,122,85,50,635,118
86000US43072,43072,2239,131,281,115,1958,159
86000US43074,43074,4352,222,142,69,4210,227
86000US43076,43076,3483,277,543,164,2940,278
86000US43077,43077,122,52,2,3,120,52
86000US43078,43078,8476,235,1278,206,7198,270
86000US43080,43080,1881,207,311,94,1570,218
86000US43081,43081,23968,585,1284,256,22684,642
86000US43082,43082,11667,326,207,99,11460,312
86000US43084,43084,278,56,39,28,239,57
86000US43085,43085,10298,307,377,118,9921,327
86000US43101,43101,113,32,44,22,69,26
86000US43102,43102,1631,167,215,92,1416,157
86000US43103,43103,3933,271,268,118,3665,295
86000US43105,43105,2906,161,261,86,2645,175
86000US43106,43106,671,100,134,55,537,98
86000US43107,43107,1242,103,178,77,1064,115
86000US43109,43109,41,15,10,9,31,15
86000US43110,43110,13904,683,1619,597,12285,712
86000US43111,43111,140,51,18,19,122,52
86000US43112,43112,1616,142,103,50,1513,151
86000US43113,43113,9205,333,1709,267,7496,383
86000US43115,43115,546,104,168,63,378,96
86000US43116,43116,506,71,19,13,487,71
86000US43117,43117,60,51,33,40,27,28
86000US43119,43119,10133,375,1321,302,8812,433
86000US43123,43123,24014,509,1995,323,22019,582
86000US43125,43125,5598,486,443,132,5155,527
86000US43126,43126,188,54,31,22,157,47
86000US43127,43127,95,84,57,60,38,56
86000US43128,43128,884,89,179,46,705,97
