geoid,name,B01002000.5,"B01002000.5, Error",total,"B01002001, Error",male,"B01002002, Error",female,"B01002003, Error"
04000US39,56,,,39.3,0.1,37.8,0.1,40.8,0.1
86000US16159,16159,,,47.3,4.5,50.4,4.2,45.5,3.2
86000US43001,43001,,,39.3,7.9,36.1,5.7,42.9,6.3
86000US43002,43002,,,32.7,2.6,32.9,6.5,32.1,4.6
86000US43003,43003,,,41.3,5.3,41.6,9,41.1,4.5
86000US43004,43004,,,34.9,1.4,33.2,3,37.3,1.7
86000US43005,43005,,,59.3,11.6,60.5,3.5,44.7,12.8
86000US43006,43006,,,50.5,8.2,48.8,7.8,56.3,11.1
86000US43008,43008,,,37.7,6.7,39,8.3,37.5,8
86000US43009,43009,,,40.4,6.4,41.7,9.6,39.4,5.5
86000US43010,43010,,,38.2,8.6,38.4,9.4,37.5,10.4
86000US43011,43011,,,38.8,3.8,35.1,6.6,41.4,3
86000US43013,43013,,,44.4,8.4,39.1,8.3,50.5,13.1
86000US43014,43014,,,37.5,5.4,38.5,6.1,34.9,6
86000US43015,43015,,,36.1,0.8,36,0.9,36.1,1.1
86000US43016,43016,,,36.7,1.1,35.3,1.3,38.2,1.5
86000US43017,43017,,,38,1,37.9,1.4,38.2,2
86000US43019,43019,,,38.2,1.9,38.9,3.2,38,1.6
86000US43021,43021,,,39.9,1.5,40.3,2,39.6,2.1
86000US43022,43022,,,21.8,0.7,21.9,1,21.7,0.8
86000US43023,43023,,,34.3,2.1,34.6,1.8,33.5,4
86000US43025,43025,,,48.9,3.1,48.4,4.5,49.3,3.1
86000US43026,43026,,,34.7,0.9,33.2,1.2,35.7,1
86000US43028,43028,,,45,3.2,43.9,3.2,45.8,4.4
86000US43029,43029,,,35.1,15.7,25,6.6,37.4,14.6
86000US43030,43030,,,0,0,0,0,0,0
86000US43031,43031,,,42.7,2,42.5,2.1,43,3.6
86000US43032,43032,,,56.4,0.7,56.4,2.5,0,0
86000US43033,43033,,,51.2,8.1,56,10.8,50.4,6.6
86000US43035,43035,,,33.3,0.8,32.9,1.4,33.6,1.2
86000US43036,43036,,,43.3,13.4,42.7,12.4,43.7,24.4
86000US43037,43037,,,33.5,10.5,26.7,8.5,36.7,6.9
86000US43040,43040,,,36.8,0.7,35.8,1.1,37.6,1.2
86000US43044,43044,,,44.3,2.8,40.5,3.1,46.1,2
86000US43045,43045,,,43.6,6.4,42.3,7.5,44.4,6.8
86000US43046,43046,,,45.5,4,43.5,5.7,50.5,4.1
86000US43050,43050,,,41.4,1.5,41.1,2.5,41.9,2
86000US43054,43054,,,35.2,1.1,35.3,0.8,35.1,2
86000US43055,43055,,,37.8,1.2,35.1,1.1,40.6,1.5
86000US43056,43056,,,43.3,1.8,42.6,2.2,43.8,3.2
86000US43060,43060,,,36.9,2.5,34.9,5,38.3,3.5
86000US43061,43061,,,45.7,4.1,46.8,5.8,44.9,3.5
86000US43062,43062,,,39.3,1.5,38.2,1.5,40.5,1.4
86000US43064,43064,,,38,2.1,38.6,3.2,37.6,2.4
86000US43065,43065,,,39.3,0.8,38.2,1.1,40.1,1
86000US43066,43066,,,49.3,4.6,49.2,4.4,49.7,6.8
86000US43067,43067,,,41.3,7.9,42.5,7.9,39.5,11
86000US43068,43068,,,34.2,1,32,2.5,35.5,1.5
86000US43070,43070,,,40.8,27.3,53.7,21.6,36.1,62.7
86000US43071,43071,,,47.5,8.9,50.2,13.3,45.6,6.2
86000US43072,43072,,,44.2,1.5,44.5,2.1,43.8,2.8
86000US43074,43074,,,41.1,2,39.5,4.8,42.5,2
