geoid,zipcode,median,"B19013001, Error"
04000US39,56,52407,153
86000US16159,16159,52619,5989
86000US43001,43001,74050,7354
86000US43002,43002,72339,15488
86000US43003,43003,48681,7689
86000US43004,43004,73854,4347
86000US43005,43005,26953,26567
86000US43006,43006,56563,23487
86000US43008,43008,41654,6127
86000US43009,43009,81429,22169
86000US43010,43010,50833,7643
86000US43011,43011,72600,5590
86000US43013,43013,63542,14383
86000US43014,43014,54792,11760
86000US43015,43015,71670,3794
86000US43016,43016,87004,7390
86000US43017,43017,101136,3687
86000US43019,43019,50919,3790
86000US43021,43021,125492,9455
86000US43022,43022,66076,15755
86000US43023,43023,102656,8047
86000US43025,43025,63159,4699
86000US43026,43026,84773,3429
86000US43028,43028,56588,4378
86000US43029,43029,57353,11546
86000US43030,43030,0,0
86000US43031,43031,72116,6586
86000US43032,43032,0,0
86000US43033,43033,51250,5283
86000US43035,43035,113466,4454
86000US43036,43036,48750,12161
86000US43037,43037,42768,3594
86000US43040,43040,74890,5334
86000US43044,43044,61779,4296
86000US43045,43045,72439,7568
86000US43046,43046,67962,6739
86000US43050,43050,46712,3127
86000US43054,43054,114372,6421
86000US43055,43055,44248,1621
86000US43056,43056,53389,4874
86000US43060,43060,63227,2689
86000US43061,43061,82036,12407
86000US43062,43062,80663,3996
86000US43064,43064,89930,8501
86000US43065,43065,122555,4986
86000US43066,43066,84803,23771
86000US43067,43067,79107,26574
86000US43068,43068,60820,2044
86000US43070,43070,0,0
86000US43071,43071,57407,6990
86000US43072,43072,57583,10518
86000US43074,43074,81325,4582
86000US43076,43076,61491,6845
86000US43077,43077,46786,8874
86000US43078,43078,48792,4259
86000US43080,43080,55179,5507
86000US43081,43081,77280,2705
86000US43082,43082,116774,6377
86000US43084,43084,61458,5234
86000US43085,43085,81353,4976
86000US43101,43101,36250,13979
86000US43102,43102,60853,3545
86000US43103,43103,74475,6182
86000US43105,43105,64205,8414
86000US43106,43106,42521,8084
86000US43107,43107,63804,17216
86000US43109,43109,0,0
86000US43110,43110,65810,6563
86000US43111,43111,36667,36522
86000US43112,43112,85625,20197
86000US43113,43113,49319,3229
86000US43115,43115,47250,15093
86000US43116,43116,89545,10973
86000US43117,43117,0,0
86000US43119,43119,66419,2994
86000US43123,43123,67280,2675
86000US43125,43125,60031,8113
86000US43126,43126,58214,26364
86000US43127,43127,32336,6754
86000US43128,43128,48214,9344
86000US43130,43130,47960,2910
86000US43135,43135,41085,7619
86000US43136,43136,60921,9176
86000US43137,43137,53354,12653
86000US43138,43138,44544,5175
86000US43140,43140,63829,2918
86000US43142,43142,35000,15140
86000US43143,43143,59350,9582
86000US43144,43144,34583,6325
86000US43145,43145,52031,7721
86000US43146,43146,78075,14359
86000US43147,43147,92908,3791
86000US43148,43148,49167,11753
86000US43149,43149,73214,9240
86000US43150,43150,54643,9819
86000US43151,43151,51786,13542
86000US43152,43152,38889,15426
86000US43153,43153,50598,7556
86000US43154,43154,58534,9729
86000US43155,43155,62344,14238
86000US43156,43156,58125,11991
86000US43157,43157,42596,7169
86000US43158,43158,37333,16623
86000US43160,43160,42496,2763
86000US43162,43162,58671,6418
86000US43164,43164,52386,8531
86000US43201,43201,29915,2383
86000US43202,43202,49759,3475
86000US43203,43203,28645,4236
86000US43204,43204,42863,2123
86000US43205,43205,32705,2149
86000US43206,43206,50660,2740
86000US43207,43207,42302,2338
86000US43209,43209,56350,3993
86000US43210,43210,16563,4707
86000US43211,43211,25045,2413
86000US43212,43212,69547,4666
86000US43213,43213,37391,1750
86000US43214,43214,67088,4146
86000US43215,43215,57752,4096
86000US43217,43217,40794,2850
86000US43219,43219,34030,3127
86000US43220,43220,65995,3115
86000US43221,43221,91306,3645
86000US43222,43222,23802,8755
86000US43223,43223,32724,3606
86000US43224,43224,35780,1851
86000US43227,43227,35365,2602
